slot_id,date,start,end,period,display_order
2026-09-27-1000,2026-09-27,10:00,10:30,morning,1
2026-09-27-1040,2026-09-27,10:40,11:10,morning,2
2026-09-27-1120,2026-09-27,11:20,11:50,morning,3
2026-09-27-1400,2026-09-27,14:00,14:30,afternoon,4
2026-09-27-1440,2026-09-27,14:40,15:10,afternoon,5
2026-09-27-1520,2026-09-27,15:20,15:50,afternoon,6
2026-09-27-1600,2026-09-27,16:00,16:30,afternoon,7
2026-09-27-1640,2026-09-27,16:40,17:10,afternoon,8
2026-09-27-1900,2026-09-27,19:00,19:30,evening,9
2026-09-27-1940,2026-09-27,19:40,20:10,evening,10
2026-09-27-2020,2026-09-27,20:20,20:50,evening,11
2026-09-27-2100,2026-09-27,21:00,21:30,evening,12
2026-09-27-2140,2026-09-27,21:40,22:10,evening,13
2026-09-28-1900,2026-09-28,19:00,19:30,evening,14
2026-09-28-1940,2026-09-28,19:40,20:10,evening,15
2026-09-28-2020,2026-09-28,20:20,20:50,evening,16
2026-09-28-2100,2026-09-28,21:00,21:30,evening,17
2026-09-28-2140,2026-09-28,21:40,22:10,evening,18
2026-09-29-1900,2026-09-29,19:00,19:30,evening,19
2026-09-29-1940,2026-09-29,19:40,20:10,evening,20
2026-09-29-2020,2026-09-29,20:20,20:50,evening,21
2026-09-29-2100,2026-09-29,21:00,21:30,evening,22
2026-09-29-2140,2026-09-29,21:40,22:10,evening,23
2026-09-30-1900,2026-09-30,19:00,19:30,evening,24
2026-09-30-1940,2026-09-30,19:40,20:10,evening,25
2026-09-30-2020,2026-09-30,20:20,20:50,evening,26
2026-09-30-2100,2026-09-30,21:00,21:30,evening,27
2026-09-30-2140,2026-09-30,21:40,22:10,evening,28
2026-10-07-1000,2026-10-07,10:00,10:30,morning,29
2026-10-07-1040,2026-10-07,10:40,11:10,morning,30
2026-10-07-1120,2026-10-07,11:20,11:50,morning,31
2026-10-07-1400,2026-10-07,14:00,14:30,afternoon,32
2026-10-07-1440,2026-10-07,14:40,15:10,afternoon,33
2026-10-07-1520,2026-10-07,15:20,15:50,afternoon,34
2026-10-07-1600,2026-10-07,16:00,16:30,afternoon,35
2026-10-07-1640,2026-10-07,16:40,17:10,afternoon,36
2026-10-07-1900,2026-10-07,19:00,19:30,evening,37
2026-10-07-1940,2026-10-07,19:40,20:10,evening,38
2026-10-07-2020,2026-10-07,20:20,20:50,evening,39
2026-10-07-2100,2026-10-07,21:00,21:30,evening,40
2026-10-07-2140,2026-10-07,21:40,22:10,evening,41

